,t_word_diff,is_t_word_different,t_sent_diff,is_t_sent_different,n_uverb_diff,is_n_uverb_different,n_uadj_diff,is_n_uadj_different,simp_ttr_diff,is_simp_ttr_different,a_verb_pw_diff,is_a_verb_pw_different,corr_adj_var_diff,is_corr_adj_var_different,corr_verb_var_diff,is_corr_verb_var_different,fkgl_diff,is_fkgl_different,a_kup_pw_diff,is_a_kup_pw_different
claude3 $Diff_N$,623.16,True,24.74,True,51.18,True,26.68,True,0.06,False,-0.0,False,0.46,True,1.4,True,1.44,False,-1.66,True
claude3 $Diff_A$,1774.0,True,74.0,True,158.84,True,81.2,True,0.2,False,-0.01,False,1.88,True,4.49,True,5.01,False,-4.09,True
gemini $Diff_N$,985.86,True,34.52,True,100.36,True,53.39,True,0.52,True,0.05,False,2.62,True,4.68,True,-4.17,False,-2.43,True
gemini $Diff_A$,2990.5,True,106.5,True,320.34,True,159.1,True,1.5,True,0.09,False,7.24,True,13.15,True,-12.65,False,-7.13,True
gpt $Diff_N$,125.87,True,1.46,False,10.95,False,10.77,False,0.02,False,-0.01,False,0.71,False,0.81,False,-1.72,True,0.43,False
gpt $Diff_A$,327.0,True,3.0,False,29.0,False,27.0,False,0.08,False,-0.01,False,1.82,False,2.24,False,-5.72,True,0.44,False
command_r $Diff_N$,1024.78,True,39.67,True,81.58,True,41.46,True,0.46,True,0.03,True,2.67,True,3.78,True,1.4,False,0.14,True
command_r $Diff_A$,3132.5,True,120.5,True,246.84,True,132.2,True,1.36,True,0.06,True,7.88,True,11.21,True,3.9,False,1.03,True
llama3_70b $Diff_N$,459.45,True,17.78,True,36.5,True,19.75,True,0.12,True,0.03,True,1.43,True,2.18,True,1.5,False,-0.06,True
llama3_70b $Diff_A$,1363.5,True,54.0,True,106.5,True,60.5,True,0.36,True,0.09,True,4.33,True,6.38,True,7.46,False,-0.11,True
